date,kWh
2013/4/1 0:00,857
2013/4/1 1:00,857
2013/4/1 2:00,861
2013/4/1 3:00,855
2013/4/1 4:00,856
2013/4/1 5:00,862
2013/4/1 6:00,888
2013/4/1 7:00,926
2013/4/1 8:00,1200
2013/4/1 9:00,1575
2013/4/1 10:00,1725
2013/4/1 11:00,1724
2013/4/1 12:00,1723
2013/4/1 13:00,1769
2013/4/1 14:00,1764
2013/4/1 15:00,1744
2013/4/1 16:00,1697
2013/4/1 17:00,1409
2013/4/1 18:00,1315
2013/4/1 19:00,1186
2013/4/1 20:00,1053
2013/4/1 21:00,989
2013/4/1 22:00,917
2013/4/1 23:00,885
2013/4/2 0:00,857
2013/4/2 1:00,859
2013/4/2 2:00,847
2013/4/2 3:00,845
2013/4/2 4:00,854
2013/4/2 5:00,860
2013/4/2 6:00,897
2013/4/2 7:00,970
2013/4/2 8:00,1159
2013/4/2 9:00,1553
2013/4/2 10:00,1819
2013/4/2 11:00,1853
2013/4/2 12:00,1805
2013/4/2 13:00,1821
2013/4/2 14:00,1966
2013/4/2 15:00,1805
2013/4/2 16:00,1677
2013/4/2 17:00,1450
2013/4/2 18:00,1344
2013/4/2 19:00,1233
2013/4/2 20:00,1133
2013/4/2 21:00,999
2013/4/2 22:00,902
2013/4/2 23:00,883
2013/4/3 0:00,866
2013/4/3 1:00,864
2013/4/3 2:00,852
2013/4/3 3:00,862
2013/4/3 4:00,859
2013/4/3 5:00,881
2013/4/3 6:00,924
2013/4/3 7:00,972
2013/4/3 8:00,1255
2013/4/3 9:00,1563
2013/4/3 10:00,1730
2013/4/3 11:00,1754
2013/4/3 12:00,1743
2013/4/3 13:00,1735
2013/4/3 14:00,1728
2013/4/3 15:00,1663
2013/4/3 16:00,1548
2013/4/3 17:00,1385
2013/4/3 18:00,1370
2013/4/3 19:00,1265
2013/4/3 20:00,1133
2013/4/3 21:00,1015
2013/4/3 22:00,893
2013/4/3 23:00,861
2013/4/4 0:00,850
2013/4/4 1:00,847
2013/4/4 2:00,840
2013/4/4 3:00,845
2013/4/4 4:00,856
2013/4/4 5:00,874
2013/4/4 6:00,900
2013/4/4 7:00,974
2013/4/4 8:00,1224
2013/4/4 9:00,1630
2013/4/4 10:00,1793
2013/4/4 11:00,1843
2013/4/4 12:00,1853
